TOTAL           105437
the                  Z5                4938 
i                    Z8                3655 
and                  Z5                2966 
it                   Z8                2610 
a                    Z5                2539 
to                   Z5                2312 
is                   A3+               1735 
for                  Z5                1322 
of                   Z5                1274 
you                  Z8                1069 
my                   Z8                1003 
with                 Z5                 941 
this                 M6                 865 
in                   Z5                 813 
not                  Z6                 809 
but                  Z5                 794 
that                 Z8                 781 
n't                  Z6                 716 
on                   Z5                 677 
this                 Z8                 560 
was                  A3+                534 
's                   A3+                472 
are                  A3+                459 
or                   Z5                 428 
very                 A13.3              425 
if                   Z7                 412 
can                  A7+                395 
they                 Z8                 390 
just                 A14                363 
have                 A9+                360 
good                 A5.1+              359 
use                  A1.5.1             353 
great                A5.1+              346 
would                A7+                337 
as                   Z5                 336 
from                 Z5                 335 
an                   Z5                 335 
me                   Z8                 333 
that                 Z5                 324 
so                   Z5                 321 
have                 Z5                 310 
do                   Z5                 306 
be                   A3+                303 
when                 Z5                 292 
than                 Z5                 289 
will                 T1.1.3             285 
all                  N5.1+              250 
what                 Z8                 249 
no                   Z6                 239 
at                   Z5                 238 
love                 E2+                229 
price                I1.3               221 
tv                   Q4.3               220 
laptop               Y2                 216 
only                 A14                215 
your                 Z8                 212 
also                 N5++               211 
computer             Y2                 211 
's                   Z5                 210 
like                 Z5                 205 
was                  Z5                 204 
one                  Z8                 202 
had                  A9+                199 
've                  Z5                 194 
has                  A9+                192 
get                  A9+                192 
really               A13.3              189 
better               A5.1++             188 
which                Z8                 188 
do                   A1.1.1             187 
some                 N5                 186 
does                 Z5                 185 
them                 Z8                 185 
is                   Z5                 184 
about                Z5                 181 
there                Z5                 181 
need                 S6+                180 
even                 A13.1              180 
screen               Y2                 177 
product              O2                 169 
MacBook              Z99                165 
chromebook           Z99                161 
after                Z5                 158 
be                   Z5                 158 
now                  T1.1.2             157 
by                   Z5                 155 
one                  N1                 154 
because              Z5                 152 
other                A6.1-              151 
am                   A3+                151 
quality              A5.1               151 
buy                  I2.2               150 
still                T2++               149 
more                 A13.3              148 
its                  Z8                 147 
using                A1.5.1             147 
are                  Z5                 145 
easy                 A12+               144 
any                  N5.1+              142 
he                   Z8                 142 
work                 I3.1               141 
could                A7+                137 
so                   A13.3              136 
more                 N5++               135 
well                 A5.1+              135 
then                 N4                 134 
we                   Z8                 133 
used                 A1.5.1             131 
windows              H2                 130 
bought               I2.2               128 
make                 A1.1.1             128 
nice                 O4.2+              127 
want                 X7+                126 
new                  T3-                126 
Amazon               Z2                 125 
'm                   A3+                121 
how                  Z5                 120 
did                  Z5                 120 
never                T1                 120 
apple                Z3                 120 
best                 A5.1+++            119 
battery              O3                 119 
2                    N1                 118 
doll                 K6                 118 
like                 E2+                115 
sound                X3.2               114 
3                    N1                 110 
blender              O2                 110 
has                  Z5                 109 
first                N4                 108 
think                X2.1               107 
into                 Z5                 106 
thing                O2                 106 
camera               C1                 105 
these                Z5                 102 
got                  A9+                102 
bench                H5                 102 
who                  Z8                 100 
time                 T1                 100 
much                 A13.3              100 
Mac                  Z1                 100 
enough               N5+                 99 
works                I3.1                98 
people               S2                  98 
small                N3.2-               97 
set                  N5                  97 
know                 X2.2+               95 
speakers             Q2.1                95 
google               Z3                  94 
iron                 O1.1                94 
their                Z8                  92 
ca                   A7+                 91 
fast                 N3.8+               90 
have_to              S6+                 90 
while                Z5                  90 
made                 A1.1.1              89 
pc                   Y2                  89 
pro                  I3.2+               89 
since                Z5                  88 
without              Z5                  87 
drive                M3                  86 
many                 N5+                 84 
most                 N5+++               84 
things               O2                  84 
recommend            Q2.2                82 
been                 Z5                  82 
pretty               A13.5               82 
up                   Z5                  82 
two                  N1                  81 
much                 N5+                 81 
hard                 O4.5                81 
money                I1                  80 
something            Z8                  80 
'm                   Z5                  80 
OS                   Z5                  80 
chrome               O1.1                79 
few                  N5-                 79 
1                    N1                  79 
everything           Z8                  79 
same                 A6.1+++             78 
store                I2.2                78 
another              A6.1-               77 
were                 A3+                 76 
display              A10+                76 
keyboard             Y2                  76 
here                 M6                  75 
life                 L1+                 75 
however              Z4                  75 
perfect              A5.1+++             74 
hours                T1.3                74 
see                  X3.4                74 
found                A10+                73 
say                  Q2.1                73 
a_lot                N5+                 73 
air                  O1.3                73 
purchased            I2.2                72 
review               X2.4                72 
as                   A13                 71 
about                A13.4               71 
problem              A12-                71 
Samsung              Z3                  71 
should               S6+                 70 
picture              C1                  70 
phone                Q1.3                70 
wanted               X7+                 69 
machine              O2                  69 
5                    N1                  68 
4                    N1                  68 
again                N6+                 68 
too                  N5.2+               67 
clubs                S5+                 67 
able                 X9.1+               66 
box                  O2                  66 
these                Z8                  66 
bad                  A5.1-               66 
video                Q4.3                66 
design               C1                  66 
fine                 A5.1+               65 
way                  X4.2                65 
go                   M1                  65 
ever                 T1.1                65 
light                W2                  65 
acer                 A4.1                65 
find                 A10+                64 
always               N6+++               64 
reviews              X2.4                64 
'll                  T1.1.3              64 
ram                  L2                  64 
before               Z5                  63 
take                 A9+                 63 
as_well              N5++                62 
though               Z5                  62 
power                S7.1+               62 
her                  Z8                  62 
c720                 Z99                 62 
almost               A13.4               61 
been                 A3+                 61 
excellent            A5.1+++             61 
probably             A7+                 61 
purchase             I2.2                61 
seems                A8                  61 
where                M6                  61 
're                  Z5                  61 
frozen               O4.6-               61 
amazing              O4.2+               60 
anything             Z8                  60 
little               N3.2-               60 
big                  N3.2+               59 
cheap                I1.3-               59 
model                O2                  59 
car                  M3                  58 
had                  Z5                  58 
device               O2                  58 
problems             A12-                58 
stars                W1                  57 
different            A6.1-               57 
happy                E4.1+               57 
actually             A5.4+               57 
run                  M1                  57 
years                T1.3                56 
sure                 A7+                 56 
did                  A1.1.1              56 
does                 A1.1.1              56 
APPS                 Z99                 56 
easily               A12+                55 
size                 N3.2                55 
a_little             A13.6               55 
wo                   T1.1.3              55 
through              Z5                  55 
products             O2                  54 
am                   Z5                  54 
awesome              O4.2+               53 
makes                A1.1.1              53 
over                 Z5                  53 
thought              X2.1                52 
out                  M6                  52 
those                Z5                  52 
give                 A9-                 51 
any                  N5                  51 
system               X4.2                51 
old                  T3+                 51 
having               A9+                 51 
simple               A12+                50 
definitely           A7+++               50 
service              S8+                 50 
may                  A7+                 50 
Sony                 Z3                  50 
put                  M2                  49 
music                K2                  49 
ice                  O1.1                49 
his                  Z8                  48 
at_all               A13.7               48 
performance          K4                  48 
audio                K3                  48 
'd                   A7+                 47 
she                  Z8                  47 
why                  A2.2                47 
months               T1.3                47 
6                    N1                  47 
working              I3.1                47 
buying               I2.2                46 
else                 A6.1-               46 
disappointed         E4.2-               46 
said                 Q2.1                46 
issues               X4.1                46 
worth                I1.3                45 
full                 N5.1+               45 
software             Y2                  45 
low                  N3.7-               45 
there                M6                  45 
button               B5                  45 
smoothies            F2                  45 
online               Y2                  44 
yet                  T1.1.2              44 
user                 A1.5.1              44 
faster               N3.8++              44 
play                 K1                  44 
days                 T1.3                43 
fish                 L2                  43 
high                 N3.7+               43 
cost                 I1.3                43 
real                 A3+                 43 
're                  A3+                 43 
usb                  Z99                 43 
bag                  B5                  43 
dvd                  K3                  43 
highly               A13.3               42 
tried                X8+                 42 
base                 M7                  42 
feel                 X2.1                42 
a_bit                A13.6               42 
running              M1                  42 
going_to             T1.1.3              42 
files                O2                  42 
player               K6                  42 
support              S8+                 41 
used_to              T1.1.1              41 
took                 A9+                 41 
less                 N5--                41 
getting              A9+                 40 
either               Z5                  40 
internet             Y2                  40 
especially           A14                 40 
out_of               Z5                  40 
computers            Y2                  40 
hdmi                 Z99                 40 
toy                  K6                  40 
bumblebee            L2                  40 
right                A5.3+               39 
seconds              T1.3                39 
so_far               T1.1.2              39 
already              T1.1.1              39 
might                A7+                 39 
until                Z5                  39 
customer             I2.2                39 
our                  Z8                  39 
point                Q2.1                39 
experience           X2.2+               39 
try                  X8+                 38 
simply               A13.6               38 
keep                 A9+                 38 
reason               A2.2                38 
oil                  O1.2                38 
between              Z5                  38 
quite                A13.5               38 
maybe                A7                  38 
solid                O1.1                38 
iphone               Z99                 38 
lid                  O2                  38 
making               A1.1.1              37 
received             A9+                 37 
trying               X8+                 37 
expensive            I1.3+               37 
overall              A14                 37 
seem                 A8                  37 
case                 A4.1                37 
office               I2.1                37 
processor            Y2                  37 
driver               M3                  37 
home                 H4                  37 
cup                  O2                  37 
most                 A13.2               36 
update               T1.1.2              36 
too                  N5++                36 
top                  M6                  35 
web                  Y2                  35 
yes                  Z4                  35 
get                  A2.1+               35 
replace              A2.1+               35 
son                  S4                  35 
movies               Q4.3                35 
bottom               N4                  35 
GB                   Z2                  35 
upgrade              A11.1+              35 
item                 O2                  34 
year                 T1.3                34 
someone              Z8                  34 
several              N5                  34 
down                 Z5                  34 
back                 B1                  34 
weeks                T1.3                34 
although             Z5                  34 
sturdy               S1.2.5+             34 
open                 A10+                34 
cable                O3                  34 
motor                O3                  34 
transform            A2.1+               34 
looking_for          X2.4                33 
both                 N5                  33 
every                N5.1+               33 
around               M6                  33 
comes                M1                  33 
compared             A6.1                33 
at_least             A13.7               33 
plastic              O1.1                33 
were                 Z5                  33 
ipad                 Z99                 33 
issue                X4.1                33 
magic                S9                  33 
bullet               G3                  33 
smell                X3.5                32 
expect               X2.6+               32 
videos               Q4.3                32 
day                  T1.3                32 
read                 Q3                  32 
speed                N3.8+               32 
storage              A9+                 32 
on                   M6                  32 
tablet               B3                  32 
loves                E2+                 31 
anyone               Z8                  31 
doing                A1.1.1              31 
around               Z5                  31 
being                A3+                 31 
needed               S6+                 31 
canon                Z3                  31 
believe              X2.1                31 
external             M6                  31 
value                A11.1+              31 
back                 M6                  31 
laptops              Y2                  31 
trackpad             Z99                 31 
off                  Z5                  31 
10                   N1                  31 
quickly              N3.8+               30 
finally              N4                  30 
personal             S5-                 30 
brand                A4.1                30 
help                 S8+                 30 
free                 S6-                 30 
settings             M2                  30 
8                    N1                  30 
desktop              H5                  30 
heavy                N3.5+               30 
warranty             A7+                 30 
under                Z5                  30 
blending             A2.1+               30 
smoothie             F2                  30 
Elsa                 Z1                  30 
long                 N3.7+               29 
less                 A13.6               29 
black                O4.3                29 
super                A5.1+               29 
sometimes            N6                  29 
no                   Z4                  29 
absolutely           A13.2               29 
available            A3+                 29 
weight               N3.5                29 
add                  N5+                 29 
feature              O4.1                29 
needs                S6+                 29 
mode                 X4.2                29 
part                 N5.1-               29 
specs                B3                  29 
larger               N3.2++              29 
previous             N4                  29 
7                    N1                  29 
hardware             O2                  29 
steam                O1.3                29 
retina               B1                  29 
irons                O1.1                29 
transformer          O3                  29 
similar              A6.1+               28 
original             T3-                 28 
decent               A5.1+               28 
change               A2.1+               28 
noticed              X3.4+               28 
because_of           A2.2                28 
in                   M6                  28 
completely           A13.2               28 
sensor               O3                  28 
whole                N5.1+               28 
had_to               S6+                 28 
large                N3.2+               28 
nt                   Z6                  28 
unit                 S5+                 28 
Microsoft            Z3                  28 
apple                L3                  28 
gift                 A9-                 27 
a_lot                A13.3               27 
glad                 E4.2+               27 
which                Z5                  27 
both                 Z5                  27 
fantastic            A5.1+               27 
pay                  I1.2                27 
decided              X6+                 27 
extremely            A13.3               27 
loud                 X3.2+               27 
of_course            Z4                  27 
ordered              S7.1+               27 
a_couple             N5                  27 
done                 A1.1.1              27 
quick                N3.8+               27 
features             O4.1                27 
perfectly            A13.2               27 
output               N5                  27 
extra                N5++                27 
considering          Z5                  27 
owned                A9+                 27 
memory               X2                  27 
dress                B5                  27 
Mattel               Z99                 27 
cologne              B4                  26 
stuff                O1                  26 
piece                N5.1-               26 
minutes              T1.3                26 
watching             X3.4                26 
expected             X2.6+               26 
difference           A6.1-               26 
fact                 A5.2+               26 
started              T2+                 26 
three                N1                  26 
seen                 X3.4                26 
range                N3.3                26 
cameras              C1                  26 
hit                  E3-                 26 
etc                  Z4                  26 
access               M1                  26 
app                  Z99                 26 
version              A4.1                26 
tabs                 O2                  26 
chromebooks          Z99                 26 
games                K5.1                26 
repair               A5.1+               26 
playing              K1                  26 
disney               Z3                  26 
but_for              Z5                  25 
us                   Z8                  25 
easier               A12++               25 
having_to            S6+                 25 
myself               Z8                  25 
nothing              Z6                  25 
wow                  Z4                  25 
wish                 X7+                 25 
even_though          Z5                  25 
port                 M4                  25 
powerful             S7.1+               25 
watch                X3.4                25 
13                   N1                  25 
flat                 O4.4                25 
arrived              M1                  24 
right                Z4                  24 
impressed            X5.2+               24 
went                 M1                  24 
longer               T1.3++              24 
type                 A4.1                24 
off                  M6                  24 
clothes              B5                  24 
month                T1.3                24 
others               A6.1-               24 
huge                 N3.2+++             24 
once                 Z5                  24 
sound_quality        K3                  24 
let                  S7.4+               24 
fruit                F1                  24 
around               A13.4               23 
going                M1                  23 
him                  Z8                  23 
poor                 I1.1-               23 
water                O1.2                23 
taking               A9+                 23 
omega                Z3                  23 
kids                 S2                  23 
image                O4.1                23 
fan                  E2+                 23 
told                 Q2.1                23 
pictures             C1                  23 
today                T1.1.2              23 
wifi                 Q4.3                23 
unless               Z5                  23 
worked               I3.1                23 
devices              O2                  23 
volume               N3.4                23 
beautiful            O4.2+               23 
helpful              S8+                 23 
bedroom              H2                  23 
deal                 N5                  23 
ports                M4                  23 
cool                 O4.6-               23 
golf                 K5.1                23 
 favorite          E2+++               22 
end                  M6                  22 
totally              A13.2               22 
useful               A1.5.2+             22 
carry                M2                  22 
job                  I3.1                22 
wrong                A5.3-               22 
surprised            X2.6-               22 
basically            Z4                  22 
hand                 B1                  22 
set_up               T2+                 22 
x                    Z5                  22 
called               Q2.2                22 
runs                 M1                  22 
documents            Q1.2                22 
make_it              X9.2+               22 
gaming               I1                  22 
pros                 I3.2+               22 
SSD                  Z99                 22 
daughter             S4                  22 
ironing              B4                  22 
half                 N5                  21 
must                 S6+                 21 
scent                X3.5                21 
once                 N6-                 21 
loved                E2+                 21 
anyway               Z4                  21 
slightly             A13.6               21 
choice               X7+                 21 
Dr.                  B3                  21 
per                  Z5                  21 
tell                 Q2.2                21 
hate                 E2-                 21 
card                 Q1.2                21 
handle               A1.1.1              21 
side                 A4.1                21 
build                B1                  21 
included             A1.8+               21 
users                A1.5.1              21 
instead_of           A6.1-               21 
portable             M2                  21 
offline              Y2                  21 
drives               M3                  21 
replaced             A2.1+               21 
browsing             X2.4                21 
charge               I1.3                21 
media                Q4                  21 
MBP                  Z99                 21 
drinks               F2                  21 
order                S7.1+               20 
clean                O4.2+               20 
fake                 A5.4-               20 
seller               I2.2                20 
return               M1                  20 
surprisingly         X2.6-               20 
smaller              N3.2--              20 
difficult            A12-                20 
spent                I1.2                20 
get                  M1                  20 
photos               C1                  20 
last                 N4                  20 
being                Z5                  20 
built                H1                  20 
second               N4                  20 
feels                X2.1                20 
space                N3.6                20 
docs                 Z3                  20 
editing              Q1.2                20 
programs             Y2                  20 
spend                I1.2                20 
fun                  E4.1+               20 
christmas            S9                  20 
blend                A2.1+               20 
satisfied            E4.2+               19 
fragrance            X3.5                19 
came                 M1                  19 
amount               N5                  19 
given                A9-                 19 
world                W1                  19 
beware               A1.3+               19 
shipping             M2                  19 
such_a               A13.3               19 
please               Z4                  19 
gave                 A9-                 19 
five                 N1                  19 
long                 T1.3+               19 
ok                   A5.1+               19 
kind                 A4.1                19 
itself               Z8                  19 
leave                M1                  19 
program              Y2                  19 
true                 A5.2+               19 
replacement          A2.1+               19 
exactly              A4.2+               19 
such                 Z5                  19 
colors               O4.3                19 
ready                O4.1                19 
looks_like           A6.1+               19 
move                 M2                  19 
including            A1.8+               19 
slow                 N3.8-               19 
times                T1                  19 
seemed               A8                  19 
im                   Z99                 19 
up_to                Z5                  19 
hp                   Z3                  19 
keys                 O2                  19 
call                 Q2.2                19 
graphics             C1                  19 
bass                 K2                  19 
returning            M1                  19 
color                O4.3                19 
HD                   Z99                 19 
1080p                I1                  19 
lion                 Z3                  19 
cord                 O2                  19 
blade                O2                  19 
hair                 B1                  19 
not_only             Z5                  18 
last                 T2++                18 
body                 B1                  18 
entire               N5.1+               18 
note                 Q1.2                18 
average              A6.2+               18 
--                   Z99                 18 
recommended          Q2.2                18 
Tobias               Z99                 18 
fishy                L2                  18 
idea                 X4.1                18 
serving              S8+                 18 
everyday             T1.1.2              18 
felt                 X2.1                18 
personally           S5-                 18 
YouTube              Z3                  18 
those                Z8                  18 
paid                 I1.2                18 
own                  A9+                 18 
fit                  N3.2                18 
reading              Q3                  18 
broke                A1.1.2              18 
Fuji                 Z3                  18 
just                 S1.2                18 
optical              X3.4                18 
returned             M1                  18 
led                  S7.1+               18 
Google_drive         Z2                  18 
hold                 M2                  18 
connect              A2.2                18 
Linux                Y2                  18 
hot                  O4.6+               18 
writing              Q1.2                18 
installed            A1.1.1              18 
upgraded             A11.1+              18 
drink                F2                  18 
head                 B1                  18 
club                 S5+                 18 
husband              S4                  17 
wonderful            A5.1+               17 
within               Z5                  17 
certainly            A7+                 17 
person               S2                  17 
strong               S1.2.5+             17 
and_other            S2                  17 
note                 Q2.1                17 
asked                Q2.2                17 
little               N5-                 17 
actual               A5.4+               17 
too_much             N5.2+               17 
hear                 X3.2                17 
plus                 Z5                  17 
due_to               A2.2                17 
i_think              Z4                  17 
/                    Z5                  17 
hard                 O4.1                17 
look_at              X3.4                17 
clear                A7+                 17 
Panasonic            Z3                  17 
prefer               E2++                17 
nikon                Z3                  17 
digital              Y2                  17 
pretty_much          A13.4               17 
in_fact              A5.2+               17 
during               Z5                  17 
usually              A6.2+               17 
photo                C1                  17 
touch                X3.3                17 
look                 A8                  17 
consider             X2.1                17 
ease                 A12+                17 
takes                A9+                 17 
browser              X2.4                17 
2gb                  Z99                 17 
setup                X4.2                17 
core                 O2                  17 
played               K1                  17 
thin                 N3.7-               17 
32                   N1                  17 
internal             M6                  17 
blue                 O4.3                17 
legs                 B1                  17 
assemble             S5+                 17 
transformers         O3                  17 
birthday             T1.2                16 
one                  T3                  16 
enjoy                E2+                 16 
items                O2                  16 
disappointment       E4.2-               16 
comment              Q2.1                16 
annoying             E3-                 16 
package              O2                  16 
lower                M6                  16 
pleased              E4.2+               16 
improvement          A5.1+               16 
